incident,application,region,prod_line,opened,app_category,priority,urgency,impact,Closed,sup_grp,grp_level,resolved,res_category,cust_time,pend_time,call_log,chat_log
INC000019130323,APP000010032598,R1028,PL1002,2018-10-03 2:49,Storage,Priority 4,Low,Limited,2018-10-16 0:10,SG1230,Level 1,2018-10-05 4:47,User knowledge or training error,179894,152654,,
INC000018812767,APP0025698,R1028,PL1002,2018-07-30 8:58,Storage,Priority 4,Low,Limited,2018-08-13 0:03,SG1039,Level 1,2018-08-02 2:27,Job Failure,235751,0,,8.31E+17
INC000019377346,APP000010028855,R1016,PL1001,2018-11-23 10:01,Storage,Priority 3,High,Limited,2018-12-15 0:00,SG1062,Level 2,2018-12-04 4:07,Data Issue,929143,0,,
INC000019131399,APP000010032598,R1028,PL1002,2018-10-03 6:36,Storage,Priority 3,High,Limited,2018-10-14 0:06,SG1123,Level 1,2018-10-03 9:50,Incident Opened in Error / Not serviced,11606,2183,,
INC000019438434,APP000010026350,R1007,PL1002,2018-12-05 2:10,Software,Priority 4,Low,Limited,2018-12-16 0:02,SG1136,Level 1,2018-12-05 11:09,Connectivity,32318,0,,
INC000018086280,APP000010016112,R1028,PL1001,2018-02-26 20:14,Software,Priority 3,High,Limited,2018-03-12 0:10,SG1248,Level 2,2018-03-01 2:21,Data Issue,194795,0,,
INC000018317600,APP000010024042,R1007,PL1001,2018-04-19 5:56,Software,Priority 4,Low,Limited,2018-05-14 0:08,SG1018,Level 2,2018-05-03 2:00,Data Issue,1195443,330589,,
INC000018784390,APP000010007552,R1028,PL1001,2018-07-24 1:51,Software,Priority 4,Medium,Limited,2018-08-07 0:01,SG1114,Level 3,2018-07-27 10:15,Data Issue,289428,168765,,
INC000018252166,APP000010022869,R1001,PL1001,2018-04-04 22:13,Software,Priority 4,Low,Limited,2018-04-16 0:13,SG1033,Level 2,2018-04-05 23:14,Data Issue,90057,0,,
INC000019611296,APP000010027325,R1007,PL1002,2019-01-14 3:21,Software,Priority 4,Medium,Limited,2019-01-28 0:09,SG1087,Level 2,2019-01-17 7:06,Connectivity,272679,258324,,531003
INC000018995465,APP000010028753,R1028,PL1001,2018-09-05 15:42,Software,Priority 4,Medium,Limited,2018-09-25 0:03,SG1072,Level 2,2018-09-14 9:04,Data Issue,753680,65386,,
INC000018066109,APP000010020080,R1016,PL1001,2018-02-21 21:41,Software,Priority 4,Low,Limited,2018-03-04 0:04,SG1123,Level 1,2018-02-21 22:01,User knowledge or training error,1173,0,,8.31E+17
INC000019189987,APP000010024042,R1007,PL1001,2018-10-15 17:07,Software,Priority 3,High,Limited,2018-10-30 0:07,SG1072,Level 2,2018-10-19 7:39,User Access / Permission,311528,0,,
INC000018399759,APP0004737,R1024,PL1002,2018-05-07 16:22,Software,Priority 4,Medium,Limited,2018-05-28 0:04,SG1154,Level 2,2018-05-17 22:25,Broken/Damaged  (physical),885760,0,,
INC000019081881,APP000010007299,R1016,PL1001,2018-09-23 21:46,Software,Priority 4,Low,Limited,2018-10-06 0:01,SG1062,Level 2,2018-09-25 17:18,Data Issue,156704,56591,,
INC000018269327,APP000010013170,R1007,PL1002,2018-04-09 11:24,Software,Priority 4,Low,Limited,2018-04-20 0:09,SG1123,Level 1,2018-04-09 11:39,User knowledge or training error,920,0,,8.31E+17
INC000019335935,APP000010007300,R1016,PL1001,2018-11-15 1:51,Software,Priority 4,Low,Limited,2018-11-26 0:07,SG1123,Level 1,2018-11-15 1:57,User knowledge or training error,373,0,,8.31E+17
INC000018504902,APP000010022869,R1001,PL1001,2018-05-28 22:42,Software,Priority 3,High,Limited,2018-06-09 0:00,SG1033,Level 2,2018-05-29 6:37,Data Issue,28505,1161,,
INC000019759050,APP000010027175,R1028,PL1001,2019-02-13 9:49,Software,Priority 4,Low,Limited,2019-02-24 0:09,SG1055,Level 1,2019-02-13 9:55,User Access / Permission,393,0,,
INC000018156193,APP0020188,R1001,PL1001,2018-03-14 0:56,Software,Priority 4,Low,Limited,2018-03-30 0:06,SG1226,Level 2,2018-03-19 8:50,Data Issue,460452,366823,,
INC000018677253,APP000010021404,R1016,PL1001,2018-07-02 1:00,Software,Priority 3,High,Limited,2018-07-20 0:04,SG1112,Level 2,2018-07-09 0:59,User Access / Permission,604712,273963,,
INC000019406074,APP000010026350,R1007,PL1002,2018-11-29 3:07,Software,Priority 4,Low,Limited,2019-01-07 0:06,SG1085,Level 2,2018-12-27 12:40,User knowledge or training error,2453574,468333,,8.31E+17
INC000019068577,APP000010028434,R1016,PL1001,2018-09-20 8:03,Software,Priority 3,High,Limited,2018-10-05 0:07,SG1073,Level 2,2018-09-24 4:34,Capacity/ Disk Space,333082,0,,
INC000018394222,APP000010027325,R1007,PL1002,2018-05-07 1:06,Software,Priority 2,High,Large,2018-05-18 0:20,SG1148,Level 2,2018-05-07 4:17,Connectivity,11437,0,,8.31E+17
INC000019126051,APP000010029495,R1024,PL1001,2018-10-02 8:16,Software,Priority 4,Medium,Limited,2018-10-14 0:08,SG1072,Level 2,2018-10-03 2:16,Job Failure,64785,0,,
INC000018595541,APP000010006077,R1016,PL1001,2018-06-14 9:30,Software,Priority 3,High,Limited,2018-06-25 0:08,SG1123,Level 1,2018-06-14 10:52,User Access / Permission,4882,0,,
